# academic.paper_trend — 화장품 성분·주제별 월간 논문 수
#
# 소스가 다르면 세는 대상이 다르다. 절대값을 합치거나 이어붙이지 말 것.
#   PubMed      MeSH 확장 주제매칭. 'cosmetic' 이라는 단어가 없는 논문까지 닿는다.
#   Europe PMC  생명과학 색인. 프리프린트와 특허를 포함한다.
# 2019-01 'cosmetic' 이 각각 1205 / 843 인 것은 이견이 아니라 두 개의 다른 질문이다.
#
# 최근 2~3개월은 색인 지연으로 항상 과소집계된다. 하락으로 읽지 말 것.
# 절대 건수가 한 자릿수인 검색어(ethylhexyl triazone 등)는 배수를 쓰면 안 된다 —
# 연 논문 두세 편 차이가 3배로 보인다.
#
# PubMed 1월은 나머지 달의 1.65~2.40배다. 측정한 10개 검색어 전부에서 예외 없이 그렇고,
# Europe PMC 는 1.16배로 훨씬 약하다. 모든 성분이 같은 방향으로 튀므로 성분 얘기가 아니라
# 연초 게재일 몰림에 따른 색인 아티팩트다. 연 단위 비교(paper_growth)는 1월을 양쪽이 한
# 번씩 포함하므로 안전하고, 월별 계열(paper_trend)을 그리면 매년 1월에 봉우리가 선다.
source,query,period,count
europepmc,ascorbic acid,2021-04-01,1085
europepmc,ascorbic acid,2021-05-01,1119
europepmc,ascorbic acid,2021-06-01,1124
europepmc,ascorbic acid,2021-07-01,1095
europepmc,ascorbic acid,2021-08-01,1032
europepmc,ascorbic acid,2021-09-01,1179
europepmc,ascorbic acid,2021-10-01,1102
europepmc,ascorbic acid,2021-11-01,1139
europepmc,ascorbic acid,2021-12-01,1177
europepmc,ascorbic acid,2022-01-01,1390
europepmc,ascorbic acid,2022-02-01,1050
europepmc,ascorbic acid,2022-03-01,1238
europepmc,ascorbic acid,2022-04-01,1142
europepmc,ascorbic acid,2022-05-01,1251
europepmc,ascorbic acid,2022-06-01,1225
europepmc,ascorbic acid,2022-07-01,1284
europepmc,ascorbic acid,2022-08-01,1317
europepmc,ascorbic acid,2022-09-01,1342
europepmc,ascorbic acid,2022-10-01,1335
europepmc,ascorbic acid,2022-11-01,1276
europepmc,ascorbic acid,2022-12-01,1452
europepmc,ascorbic acid,2023-01-01,1473
europepmc,ascorbic acid,2023-02-01,1247
europepmc,ascorbic acid,2023-03-01,1410
europepmc,ascorbic acid,2023-04-01,1152
europepmc,ascorbic acid,2023-05-01,1198
europepmc,ascorbic acid,2023-06-01,1168
europepmc,ascorbic acid,2023-07-01,1157
europepmc,ascorbic acid,2023-08-01,1152
europepmc,ascorbic acid,2023-09-01,1189
europepmc,ascorbic acid,2023-10-01,1081
europepmc,ascorbic acid,2023-11-01,1106
europepmc,ascorbic acid,2023-12-01,1044
europepmc,ascorbic acid,2024-01-01,1374
europepmc,ascorbic acid,2024-02-01,1124
europepmc,ascorbic acid,2024-03-01,1103
europepmc,ascorbic acid,2024-04-01,1140
europepmc,ascorbic acid,2024-05-01,1222
europepmc,ascorbic acid,2024-06-01,1144
europepmc,ascorbic acid,2024-07-01,1241
europepmc,ascorbic acid,2024-08-01,1173
europepmc,ascorbic acid,2024-09-01,1231
europepmc,ascorbic acid,2024-10-01,1300
europepmc,ascorbic acid,2024-11-01,1298
europepmc,ascorbic acid,2024-12-01,1160
europepmc,ascorbic acid,2025-01-01,1486
europepmc,ascorbic acid,2025-02-01,1198
europepmc,ascorbic acid,2025-03-01,1180
europepmc,ascorbic acid,2025-04-01,1244
europepmc,ascorbic acid,2025-05-01,1303
europepmc,ascorbic acid,2025-06-01,1138
europepmc,ascorbic acid,2025-07-01,1471
europepmc,ascorbic acid,2025-08-01,1286
europepmc,ascorbic acid,2025-09-01,1292
europepmc,ascorbic acid,2025-10-01,1300
europepmc,ascorbic acid,2025-11-01,1344
europepmc,ascorbic acid,2025-12-01,1279
europepmc,ascorbic acid,2026-01-01,1361
europepmc,ascorbic acid,2026-02-01,1158
europepmc,ascorbic acid,2026-03-01,1161
europepmc,ascorbic acid,2026-04-01,1227
europepmc,ascorbic acid,2026-05-01,983
europepmc,ascorbic acid,2026-06-01,737
europepmc,ascorbic acid,2026-07-01,213
europepmc,ascorbic acid,2026-08-01,98
europepmc,centella asiatica,2019-01-01,21
europepmc,centella asiatica,2019-02-01,8
europepmc,centella asiatica,2019-03-01,16
europepmc,centella asiatica,2019-04-01,12
europepmc,centella asiatica,2019-05-01,18
europepmc,centella asiatica,2019-06-01,13
europepmc,centella asiatica,2019-07-01,19
europepmc,centella asiatica,2019-08-01,9
europepmc,centella asiatica,2019-09-01,15
europepmc,centella asiatica,2019-10-01,10
europepmc,centella asiatica,2019-11-01,15
europepmc,centella asiatica,2019-12-01,16
europepmc,centella asiatica,2020-01-01,35
europepmc,centella asiatica,2020-02-01,10
europepmc,centella asiatica,2020-03-01,20
europepmc,centella asiatica,2020-04-01,23
europepmc,centella asiatica,2020-05-01,28
europepmc,centella asiatica,2020-06-01,31
europepmc,centella asiatica,2020-07-01,20
europepmc,centella asiatica,2020-08-01,18
europepmc,centella asiatica,2020-09-01,23
europepmc,centella asiatica,2020-10-01,36
europepmc,centella asiatica,2020-11-01,23
europepmc,centella asiatica,2020-12-01,22
europepmc,centella asiatica,2021-01-01,52
europepmc,centella asiatica,2021-02-01,24
europepmc,centella asiatica,2021-03-01,26
europepmc,centella asiatica,2021-04-01,28
europepmc,centella asiatica,2021-05-01,33
europepmc,centella asiatica,2021-06-01,29
europepmc,centella asiatica,2021-07-01,38
europepmc,centella asiatica,2021-08-01,25
europepmc,centella asiatica,2021-09-01,47
europepmc,centella asiatica,2021-10-01,42
europepmc,centella asiatica,2021-11-01,40
europepmc,centella asiatica,2021-12-01,39
europepmc,centella asiatica,2022-01-01,44
europepmc,centella asiatica,2022-02-01,31
europepmc,centella asiatica,2022-03-01,39
europepmc,centella asiatica,2022-04-01,33
europepmc,centella asiatica,2022-05-01,50
europepmc,centella asiatica,2022-06-01,28
europepmc,centella asiatica,2022-07-01,20
europepmc,centella asiatica,2022-08-01,37
europepmc,centella asiatica,2022-09-01,34
europepmc,centella asiatica,2022-10-01,40
europepmc,centella asiatica,2022-11-01,34
europepmc,centella asiatica,2022-12-01,36
europepmc,centella asiatica,2023-01-01,45
europepmc,centella asiatica,2023-02-01,50
europepmc,centella asiatica,2023-03-01,43
europepmc,centella asiatica,2023-04-01,36
europepmc,centella asiatica,2023-05-01,35
europepmc,centella asiatica,2023-06-01,28
europepmc,centella asiatica,2023-07-01,37
europepmc,centella asiatica,2023-08-01,29
europepmc,centella asiatica,2023-09-01,39
europepmc,centella asiatica,2023-10-01,29
europepmc,centella asiatica,2023-11-01,28
europepmc,centella asiatica,2023-12-01,27
europepmc,centella asiatica,2024-01-01,63
europepmc,centella asiatica,2024-02-01,39
europepmc,centella asiatica,2024-03-01,27
europepmc,centella asiatica,2024-04-01,38
europepmc,centella asiatica,2024-05-01,40
europepmc,centella asiatica,2024-06-01,28
europepmc,centella asiatica,2024-07-01,38
europepmc,centella asiatica,2024-08-01,44
europepmc,centella asiatica,2024-09-01,55
europepmc,centella asiatica,2024-10-01,47
europepmc,centella asiatica,2024-11-01,41
europepmc,centella asiatica,2024-12-01,47
europepmc,centella asiatica,2025-01-01,55
europepmc,centella asiatica,2025-02-01,46
europepmc,centella asiatica,2025-03-01,47
europepmc,centella asiatica,2025-04-01,43
europepmc,centella asiatica,2025-05-01,42
europepmc,centella asiatica,2025-06-01,44
europepmc,centella asiatica,2025-07-01,57
europepmc,centella asiatica,2025-08-01,55
europepmc,centella asiatica,2025-09-01,58
europepmc,centella asiatica,2025-10-01,62
europepmc,centella asiatica,2025-11-01,53
europepmc,centella asiatica,2025-12-01,48
europepmc,centella asiatica,2026-01-01,61
europepmc,centella asiatica,2026-02-01,55
europepmc,centella asiatica,2026-03-01,54
europepmc,centella asiatica,2026-04-01,48
europepmc,centella asiatica,2026-05-01,39
europepmc,centella asiatica,2026-06-01,35
europepmc,centella asiatica,2026-07-01,14
europepmc,centella asiatica,2026-08-01,2
europepmc,ceramide,2019-01-01,284
europepmc,ceramide,2019-02-01,217
europepmc,ceramide,2019-03-01,257
europepmc,ceramide,2019-04-01,244
europepmc,ceramide,2019-05-01,220
europepmc,ceramide,2019-06-01,245
europepmc,ceramide,2019-07-01,224
europepmc,ceramide,2019-08-01,218
europepmc,ceramide,2019-09-01,220
europepmc,ceramide,2019-10-01,234
europepmc,ceramide,2019-11-01,239
europepmc,ceramide,2019-12-01,267
europepmc,ceramide,2020-01-01,335
europepmc,ceramide,2020-02-01,249
europepmc,ceramide,2020-03-01,276
europepmc,ceramide,2020-04-01,254
europepmc,ceramide,2020-05-01,314
europepmc,ceramide,2020-06-01,302
europepmc,ceramide,2020-07-01,352
europepmc,ceramide,2020-08-01,342
europepmc,ceramide,2020-09-01,363
europepmc,ceramide,2020-10-01,354
europepmc,ceramide,2020-11-01,341
europepmc,ceramide,2020-12-01,310
europepmc,ceramide,2021-01-01,496
europepmc,ceramide,2021-02-01,389
europepmc,ceramide,2021-03-01,403
europepmc,ceramide,2021-04-01,379
europepmc,ceramide,2021-05-01,358
europepmc,ceramide,2021-06-01,393
europepmc,ceramide,2021-07-01,381
europepmc,ceramide,2021-08-01,385
europepmc,ceramide,2021-09-01,387
europepmc,ceramide,2021-10-01,399
europepmc,ceramide,2021-11-01,368
europepmc,ceramide,2021-12-01,390
europepmc,ceramide,2022-01-01,440
europepmc,ceramide,2022-02-01,382
europepmc,ceramide,2022-03-01,440
europepmc,ceramide,2022-04-01,376
europepmc,ceramide,2022-05-01,354
europepmc,ceramide,2022-06-01,405
europepmc,ceramide,2022-07-01,400
europepmc,ceramide,2022-08-01,424
europepmc,ceramide,2022-09-01,452
europepmc,ceramide,2022-10-01,419
europepmc,ceramide,2022-11-01,448
europepmc,ceramide,2022-12-01,421
europepmc,ceramide,2023-01-01,496
europepmc,ceramide,2023-02-01,416
europepmc,ceramide,2023-03-01,453
europepmc,ceramide,2023-04-01,374
europepmc,ceramide,2023-05-01,418
europepmc,ceramide,2023-06-01,384
europepmc,ceramide,2023-07-01,368
europepmc,ceramide,2023-08-01,384
europepmc,ceramide,2023-09-01,343
europepmc,ceramide,2023-10-01,368
europepmc,ceramide,2023-11-01,362
europepmc,ceramide,2023-12-01,362
europepmc,ceramide,2024-01-01,478
europepmc,ceramide,2024-02-01,372
europepmc,ceramide,2024-03-01,386
europepmc,ceramide,2024-04-01,340
europepmc,ceramide,2024-05-01,406
europepmc,ceramide,2024-06-01,383
europepmc,ceramide,2024-07-01,423
europepmc,ceramide,2024-08-01,405
europepmc,ceramide,2024-09-01,373
europepmc,ceramide,2024-10-01,404
europepmc,ceramide,2024-11-01,448
europepmc,ceramide,2024-12-01,410
europepmc,ceramide,2025-01-01,534
europepmc,ceramide,2025-02-01,411
europepmc,ceramide,2025-03-01,480
europepmc,ceramide,2025-04-01,479
europepmc,ceramide,2025-05-01,448
europepmc,ceramide,2025-06-01,439
europepmc,ceramide,2025-07-01,476
europepmc,ceramide,2025-08-01,434
europepmc,ceramide,2025-09-01,471
europepmc,ceramide,2025-10-01,524
europepmc,ceramide,2025-11-01,485
europepmc,ceramide,2025-12-01,504
europepmc,ceramide,2026-01-01,550
europepmc,ceramide,2026-02-01,451
europepmc,ceramide,2026-03-01,467
europepmc,ceramide,2026-04-01,466
europepmc,ceramide,2026-05-01,421
europepmc,ceramide,2026-06-01,287
europepmc,ceramide,2026-07-01,129
europepmc,ceramide,2026-08-01,43
europepmc,collagen,2019-01-01,3307
europepmc,collagen,2019-02-01,2504
europepmc,collagen,2019-03-01,2695
europepmc,collagen,2019-04-01,2752
europepmc,collagen,2019-05-01,2888
europepmc,collagen,2019-06-01,2805
europepmc,collagen,2019-07-01,2914
europepmc,collagen,2019-08-01,2803
europepmc,collagen,2019-09-01,2529
europepmc,collagen,2019-10-01,2683
europepmc,collagen,2019-11-01,2852
europepmc,collagen,2019-12-01,2902
europepmc,collagen,2020-01-01,3727
europepmc,collagen,2020-02-01,2889
europepmc,collagen,2020-03-01,3075
europepmc,collagen,2020-04-01,3143
europepmc,collagen,2020-05-01,3385
europepmc,collagen,2020-06-01,3550
europepmc,collagen,2020-07-01,3862
europepmc,collagen,2020-08-01,3394
europepmc,collagen,2020-09-01,3767
europepmc,collagen,2020-10-01,3843
europepmc,collagen,2020-11-01,3605
europepmc,collagen,2020-12-01,3565
europepmc,collagen,2021-01-01,4817
europepmc,collagen,2021-02-01,3751
europepmc,collagen,2021-03-01,4439
europepmc,collagen,2021-04-01,3907
europepmc,collagen,2021-05-01,4189
europepmc,collagen,2021-06-01,4214
europepmc,collagen,2021-07-01,4124
europepmc,collagen,2021-08-01,3977
europepmc,collagen,2021-09-01,4145
europepmc,collagen,2021-10-01,4016
europepmc,collagen,2021-11-01,4103
europepmc,collagen,2021-12-01,4160
europepmc,collagen,2022-01-01,4950
europepmc,collagen,2022-02-01,3927
europepmc,collagen,2022-03-01,4672
europepmc,collagen,2022-04-01,4093
europepmc,collagen,2022-05-01,4189
europepmc,collagen,2022-06-01,4243
europepmc,collagen,2022-07-01,4388
europepmc,collagen,2022-08-01,4430
europepmc,collagen,2022-09-01,4486
europepmc,collagen,2022-10-01,4406
europepmc,collagen,2022-11-01,4430
europepmc,collagen,2022-12-01,4511
europepmc,collagen,2023-01-01,5053
europepmc,collagen,2023-02-01,4159
europepmc,collagen,2023-03-01,4436
europepmc,collagen,2023-04-01,4002
europepmc,collagen,2023-05-01,4259
europepmc,collagen,2023-06-01,3954
europepmc,collagen,2023-07-01,3945
europepmc,collagen,2023-08-01,3986
europepmc,collagen,2023-09-01,3962
europepmc,collagen,2023-10-01,4087
europepmc,collagen,2023-11-01,4149
europepmc,collagen,2023-12-01,3830
europepmc,collagen,2024-01-01,5034
europepmc,collagen,2024-02-01,4029
europepmc,collagen,2024-03-01,4040
europepmc,collagen,2024-04-01,4160
europepmc,collagen,2024-05-01,4314
europepmc,collagen,2024-06-01,4080
europepmc,collagen,2024-07-01,4458
europepmc,collagen,2024-08-01,4292
europepmc,collagen,2024-09-01,4453
europepmc,collagen,2024-10-01,4608
europepmc,collagen,2024-11-01,4425
europepmc,collagen,2024-12-01,4223
europepmc,collagen,2025-01-01,5620
europepmc,collagen,2025-02-01,4433
europepmc,collagen,2025-03-01,4738
europepmc,collagen,2025-04-01,5040
europepmc,collagen,2025-05-01,5046
europepmc,collagen,2025-06-01,4685
europepmc,collagen,2025-07-01,5748
europepmc,collagen,2025-08-01,4902
europepmc,collagen,2025-09-01,5028
europepmc,collagen,2025-10-01,5362
europepmc,collagen,2025-11-01,5183
europepmc,collagen,2025-12-01,5238
europepmc,collagen,2026-01-01,5945
europepmc,collagen,2026-02-01,4823
europepmc,collagen,2026-03-01,5381
europepmc,collagen,2026-04-01,5017
europepmc,collagen,2026-05-01,4499
europepmc,collagen,2026-06-01,3367
europepmc,collagen,2026-07-01,1344
europepmc,collagen,2026-08-01,695
europepmc,cosmetic,2019-01-01,843
europepmc,cosmetic,2019-02-01,583
europepmc,cosmetic,2019-03-01,657
europepmc,cosmetic,2019-04-01,688
europepmc,cosmetic,2019-05-01,717
europepmc,cosmetic,2019-06-01,684
europepmc,cosmetic,2019-07-01,734
europepmc,cosmetic,2019-08-01,669
europepmc,cosmetic,2019-09-01,693
europepmc,cosmetic,2019-10-01,676
europepmc,cosmetic,2019-11-01,757
europepmc,cosmetic,2019-12-01,748
europepmc,cosmetic,2020-01-01,1001
europepmc,cosmetic,2020-02-01,727
europepmc,cosmetic,2020-03-01,739
europepmc,cosmetic,2020-04-01,872
europepmc,cosmetic,2020-05-01,899
europepmc,cosmetic,2020-06-01,937
europepmc,cosmetic,2020-07-01,1019
europepmc,cosmetic,2020-08-01,965
europepmc,cosmetic,2020-09-01,1005
europepmc,cosmetic,2020-10-01,1039
europepmc,cosmetic,2020-11-01,976
europepmc,cosmetic,2020-12-01,931
europepmc,cosmetic,2021-01-01,1317
europepmc,cosmetic,2021-02-01,998
europepmc,cosmetic,2021-03-01,1129
europepmc,cosmetic,2021-04-01,1116
europepmc,cosmetic,2021-05-01,1115
europepmc,cosmetic,2021-06-01,1119
europepmc,cosmetic,2021-07-01,1080
europepmc,cosmetic,2021-08-01,1086
europepmc,cosmetic,2021-09-01,1126
europepmc,cosmetic,2021-10-01,1206
europepmc,cosmetic,2021-11-01,1142
europepmc,cosmetic,2021-12-01,1060
europepmc,cosmetic,2022-01-01,1353
europepmc,cosmetic,2022-02-01,1068
europepmc,cosmetic,2022-03-01,1235
europepmc,cosmetic,2022-04-01,1135
europepmc,cosmetic,2022-05-01,1146
europepmc,cosmetic,2022-06-01,1111
europepmc,cosmetic,2022-07-01,1224
europepmc,cosmetic,2022-08-01,1156
europepmc,cosmetic,2022-09-01,1352
europepmc,cosmetic,2022-10-01,1221
europepmc,cosmetic,2022-11-01,1224
europepmc,cosmetic,2022-12-01,1301
europepmc,cosmetic,2023-01-01,1519
europepmc,cosmetic,2023-02-01,1118
europepmc,cosmetic,2023-03-01,1277
europepmc,cosmetic,2023-04-01,1190
europepmc,cosmetic,2023-05-01,1139
europepmc,cosmetic,2023-06-01,1176
europepmc,cosmetic,2023-07-01,1204
europepmc,cosmetic,2023-08-01,1123
europepmc,cosmetic,2023-09-01,1139
europepmc,cosmetic,2023-10-01,1124
europepmc,cosmetic,2023-11-01,1230
europepmc,cosmetic,2023-12-01,1075
europepmc,cosmetic,2024-01-01,1507
europepmc,cosmetic,2024-02-01,1154
europepmc,cosmetic,2024-03-01,1221
europepmc,cosmetic,2024-04-01,1185
europepmc,cosmetic,2024-05-01,1245
europepmc,cosmetic,2024-06-01,1194
europepmc,cosmetic,2024-07-01,1322
europepmc,cosmetic,2024-08-01,1292
europepmc,cosmetic,2024-09-01,1337
europepmc,cosmetic,2024-10-01,1315
europepmc,cosmetic,2024-11-01,1322
europepmc,cosmetic,2024-12-01,1228
europepmc,cosmetic,2025-01-01,1673
europepmc,cosmetic,2025-02-01,1221
europepmc,cosmetic,2025-03-01,1408
europepmc,cosmetic,2025-04-01,1395
europepmc,cosmetic,2025-05-01,1416
europepmc,cosmetic,2025-06-01,1361
europepmc,cosmetic,2025-07-01,1608
europepmc,cosmetic,2025-08-01,1424
europepmc,cosmetic,2025-09-01,1539
europepmc,cosmetic,2025-10-01,1590
europepmc,cosmetic,2025-11-01,1526
europepmc,cosmetic,2025-12-01,1611
europepmc,cosmetic,2026-01-01,1672
europepmc,cosmetic,2026-02-01,1349
europepmc,cosmetic,2026-03-01,1490
europepmc,cosmetic,2026-04-01,1501
europepmc,cosmetic,2026-05-01,1309
europepmc,cosmetic,2026-06-01,1136
europepmc,cosmetic,2026-07-01,512
europepmc,cosmetic,2026-08-01,254
europepmc,ethylhexyl triazone,2019-01-01,0
europepmc,ethylhexyl triazone,2019-02-01,0
europepmc,ethylhexyl triazone,2019-03-01,0
europepmc,ethylhexyl triazone,2019-04-01,1
europepmc,ethylhexyl triazone,2019-05-01,1
europepmc,ethylhexyl triazone,2019-06-01,1
europepmc,ethylhexyl triazone,2019-07-01,1
europepmc,ethylhexyl triazone,2019-08-01,0
europepmc,ethylhexyl triazone,2019-09-01,1
europepmc,ethylhexyl triazone,2019-10-01,1
europepmc,ethylhexyl triazone,2019-11-01,0
europepmc,ethylhexyl triazone,2019-12-01,0
europepmc,ethylhexyl triazone,2020-01-01,2
europepmc,ethylhexyl triazone,2020-02-01,1
europepmc,ethylhexyl triazone,2020-03-01,1
europepmc,ethylhexyl triazone,2020-04-01,2
europepmc,ethylhexyl triazone,2020-05-01,0
europepmc,ethylhexyl triazone,2020-06-01,1
europepmc,ethylhexyl triazone,2020-07-01,1
europepmc,ethylhexyl triazone,2020-08-01,1
europepmc,ethylhexyl triazone,2020-09-01,1
europepmc,ethylhexyl triazone,2020-10-01,1
europepmc,ethylhexyl triazone,2020-11-01,0
europepmc,ethylhexyl triazone,2020-12-01,2
europepmc,ethylhexyl triazone,2021-01-01,1
europepmc,ethylhexyl triazone,2021-02-01,3
europepmc,ethylhexyl triazone,2021-03-01,0
europepmc,ethylhexyl triazone,2021-04-01,2
europepmc,ethylhexyl triazone,2021-05-01,1
europepmc,ethylhexyl triazone,2021-06-01,1
europepmc,ethylhexyl triazone,2021-07-01,0
europepmc,ethylhexyl triazone,2021-08-01,1
europepmc,ethylhexyl triazone,2021-09-01,0
europepmc,ethylhexyl triazone,2021-10-01,2
europepmc,ethylhexyl triazone,2021-11-01,0
europepmc,ethylhexyl triazone,2021-12-01,1
europepmc,ethylhexyl triazone,2022-01-01,1
europepmc,ethylhexyl triazone,2022-02-01,1
europepmc,ethylhexyl triazone,2022-03-01,1
europepmc,ethylhexyl triazone,2022-04-01,0
europepmc,ethylhexyl triazone,2022-05-01,0
europepmc,ethylhexyl triazone,2022-06-01,0
europepmc,ethylhexyl triazone,2022-07-01,2
europepmc,ethylhexyl triazone,2022-08-01,0
europepmc,ethylhexyl triazone,2022-09-01,2
europepmc,ethylhexyl triazone,2022-10-01,2
europepmc,ethylhexyl triazone,2022-11-01,2
europepmc,ethylhexyl triazone,2022-12-01,0
europepmc,ethylhexyl triazone,2023-01-01,1
europepmc,ethylhexyl triazone,2023-02-01,0
europepmc,ethylhexyl triazone,2023-03-01,2
europepmc,ethylhexyl triazone,2023-04-01,0
europepmc,ethylhexyl triazone,2023-05-01,1
europepmc,ethylhexyl triazone,2023-06-01,0
europepmc,ethylhexyl triazone,2023-07-01,0
europepmc,ethylhexyl triazone,2023-08-01,0
europepmc,ethylhexyl triazone,2023-09-01,1
europepmc,ethylhexyl triazone,2023-10-01,2
europepmc,ethylhexyl triazone,2023-11-01,1
europepmc,ethylhexyl triazone,2023-12-01,0
europepmc,ethylhexyl triazone,2024-01-01,0
europepmc,ethylhexyl triazone,2024-02-01,3
europepmc,ethylhexyl triazone,2024-03-01,1
